time,cluster,in_out
1379535354.0,31,in
1379535358.0,31,out
1379540661.0,32,in
1379540729.0,32,out
1379545003.0,25,in
1379545047.0,25,out
1379546335.0,75,in
1379546357.0,75,out
1379546449.0,75,in
1379546455.0,75,out
1379546519.0,75,in
1379546532.0,75,out
1379571823.0,2,in
1379571823.0,2,out
1379571825.0,2,in
1379642025.0,2,out
1379691820.0,61,in
1379691852.0,61,out
1379692481.0,4,in
1379692527.0,4,out
1379692527.0,1,in
1379818770.0,1,out
1379818770.0,4,in
1379818796.0,4,out
1379819505.0,61,in
1379819614.0,61,out
1379819614.0,0,in
1379912359.0,0,out
1379912359.0,1,in
1379912636.0,1,out
1379912636.0,4,in
1379912793.0,4,out
1379913339.0,11,in
1379998143.0,11,out
1379999089.0,61,in
1379999156.0,61,out
1380000484.0,0,in
1380631075.0,0,out
1380632716.0,1,in
1380633043.0,1,out
1380633043.0,7,in
1380633361.0,7,out
1380633378.0,49,in
1380633385.0,49,out
1380633464.0,18,in
1380633485.0,18,out
1380633490.0,21,in
1380633553.0,21,out
1380634825.0,7,in
1380634842.0,7,out
1380634842.0,1,in
1380643996.0,1,out
1380643996.0,7,in
1380645722.0,7,out
1380645722.0,1,in
1380714155.0,1,out
1380714155.0,0,in
1380714178.0,0,out
1380714178.0,61,in
1380714223.0,61,out
1380715112.0,4,in
1380715159.0,4,out
1380715159.0,1,in
1380782979.0,1,out
1380782979.0,0,in
1380785116.0,0,out
1380786224.0,0,in
1380791824.0,0,out
1380809135.0,61,in
1380809967.0,61,out
1380810626.0,4,in
1380810664.0,4,out
1380810664.0,1,in
1380811373.0,1,out
1380811373.0,7,in
1380811424.0,7,out
1380811424.0,1,in
1380811450.0,1,out
1380811450.0,7,in
1380811469.0,7,out
1380811469.0,1,in
1380875328.0,1,out
1380875956.0,0,in
1380958795.0,0,out
1380958795.0,1,in
1380959108.0,1,out
1380959108.0,0,in
1381041970.0,0,out
1381042305.0,61,in
1381042365.0,61,out
1381042974.0,4,in
1381043013.0,4,out
1381043013.0,1,in
1381043271.0,1,out
1381043271.0,7,in
1381199910.0,7,out
1381199910.0,1,in
1381200292.0,1,out
1381200292.0,4,in
1381200315.0,4,out
1381202077.0,40,in
1381202127.0,40,out
1381204007.0,0,in
1381305292.0,0,out
1381306737.0,0,in
1381309013.0,0,out
1381372579.0,1,in
1381372835.0,1,out
1381372835.0,4,in
1381372865.0,4,out
1381374671.0,40,in
1381374720.0,40,out
1381392386.0,1,in
1381392790.0,1,out
1381392790.0,4,in
1381392813.0,4,out
1381394335.0,40,in
1381394389.0,40,out
1381458768.0,1,in
1381459172.0,1,out
1381459172.0,4,in
1381459195.0,4,out
1381460717.0,40,in
1381460770.0,40,out
1381480677.0,4,in
1381480924.0,4,out
1381480924.0,1,in
1381545120.0,1,out
1381545120.0,19,in
1381545240.0,19,out
1381546040.0,10,in
1381546129.0,10,out
1381547447.0,60,in
1381547529.0,60,out
1381547581.0,60,in
1381547624.0,60,out
1381549290.0,7,in
1381549292.0,7,out
1381549298.0,7,in
1381549427.0,7,out
1381549427.0,1,in
1381576620.0,1,out
1381576620.0,7,in
1381576652.0,7,out
1381576652.0,1,in
1381576659.0,1,out
1381576659.0,7,in
1381576871.0,7,out
1381576871.0,1,in
1381576879.0,1,out
1381576879.0,7,in
1381576981.0,7,out
1381576981.0,1,in
1381576982.0,1,out
1381576982.0,7,in
1381577046.0,7,out
1381577046.0,1,in
1381577096.0,1,out
1381577096.0,7,in
1381595026.0,7,out
1381595026.0,1,in
1381595030.0,1,out
1381595030.0,7,in
1381595046.0,7,out
1381595046.0,1,in
1381595051.0,1,out
1381595051.0,7,in
1381595084.0,7,out
1381595084.0,1,in
1381983241.0,1,out
1381985186.0,40,in
1381985245.0,40,out
1381987021.0,0,in
1382099941.0,0,out
1382099941.0,7,in
1382100416.0,7,out
1382100416.0,1,in
1382100451.0,1,out
1382100451.0,7,in
1382100475.0,7,out
1382100475.0,1,in
